Hostname,IP,URL,CPU,RAM,GPU,Hard Disk,Interfacce di Rete,OS,Macchina di Monitoraggio,Macchina Gateway,Docker Swarm Node/Cluster,Kubernetes Cluster,Ambiente,Ruolo/Funzione,Stato,Responsabile,Note,CI ID
vm-test-8,10.1.0.96,N/A,3,16GB,N/A,1TB SSD,eth0: 10.1.0.96,Windows Server 2019,monitor-01,gateway-10,N/A,N/A,Dev,Testing Machine,Attivo,Team Web,Testing Machine #8,4ddff708-b783-423e-bf47-12d8ae73a85b
vm-test-9,10.1.0.97,N/A,12,8GB,N/A,2TB SSD,eth0: 10.1.0.97,Ubuntu 18.04 LTS,monitor-01,gateway-6,N/A,N/A,Dev,Testing Machine,Attivo,Team Infrastructure,Testing Machine #9,b986b6fb-604e-48ee-a78b-b82a9d7ccbe7
vm-test-10,10.1.0.98,N/A,8,8GB,N/A,1TB SSD,eth0: 10.1.0.98,Ubuntu 18.04 LTS,monitor-01,gateway-6,N/A,N/A,Dev,Testing Machine,Attivo,Team DB,Testing Machine #10,58d84260-82e4-4e44-a361-5744b923d272
vm-test-11,172.16.0.99,N/A,13,16GB,N/A,1TB SSD,eth0: 172.16.0.99,Windows Server 2019,monitor-01,gateway-7,N/A,N/A,Test,Testing Machine,Attivo,Team Web,Testing Machine #11,d3ab873d-405a-4701-aad1-d77bbb649e47
vm-test-12,192.168.1.100,N/A,12,64GB,N/A,500GB SSD,eth0: 192.168.1.100,Windows Server 2016,monitor-01,gateway-10,N/A,N/A,Dev,Testing Machine,Attivo,Team Kubernetes,Testing Machine #12,467e425a-19d4-454a-91c2-02cbaa65e773
vm-test-13,10.0.1.101,N/A,3,64GB,N/A,500GB SSD,eth0: 10.0.1.101,Ubuntu 20.04 LTS,monitor-01,gateway-1,N/A,N/A,Dev,Testing Machine,Attivo,Team Web,Testing Machine #13,4992dcf6-d726-4d2c-99d7-ecead3564669
vm-test-14,192.168.1.102,N/A,4,16GB,N/A,2TB SSD,eth0: 192.168.1.102,CentOS 8,monitor-01,gateway-2,N/A,N/A,Test,Testing Machine,Attivo,Team Docker,Testing Machine #14,2cf2dfd1-c535-40a6-a9de-5827d630ccdc
vm-test-15,10.1.0.103,N/A,7,32GB,N/A,2TB SSD,eth0: 10.1.0.103,Windows Server 2016,monitor-01,gateway-2,N/A,N/A,Dev,Testing Machine,Attivo,Team ML,Testing Machine #15,fc453dd4-1622-46be-b08b-11dd6d908feb
vm-monitor-1,10.0.1.104,N/A,3,8GB,N/A,1TB SSD,eth0: 10.0.1.104,Windows Server 2016,monitor-01,gateway-9,N/A,N/A,Dev,Monitoring Server,Attivo,Team Infrastructure,Monitoring Server #1,36ff61ec-1725-49cb-bb85-2140c6c53ac8
vm-monitor-2,10.0.0.105,N/A,6,8GB,N/A,500GB SSD,eth0: 10.0.0.105,Windows Server 2016,monitor-01,gateway-9,N/A,N/A,Test,Monitoring Server,Attivo,Team DevOps,Monitoring Server #2,ceaf08d6-c2d0-493d-9f64-6992f2071524
vm-monitor-3,10.1.0.106,N/A,9,32GB,N/A,1TB SSD,eth0: 10.1.0.106,Windows Server 2019,monitor-01,gateway-5,N/A,N/A,Test,Monitoring Server,Attivo,Team QA,Monitoring Server #3,b6240bf6-1e8a-4ef3-bb1f-6c752c5cf758
vm-monitor-4,192.168.1.107,N/A,5,64GB,N/A,1TB SSD,eth0: 192.168.1.107,Windows Server 2019,monitor-01,gateway-5,N/A,N/A,Dev,Monitoring Server,Attivo,Team Kubernetes,Monitoring Server #4,7bb9caba-1f55-4674-aeda-3414f8be9e9e
vm-monitor-5,10.1.0.108,N/A,15,64GB,N/A,1TB SSD,eth0: 10.1.0.108,Ubuntu 18.04 LTS,monitor-01,gateway-4,N/A,N/A,Dev,Monitoring Server,Attivo,Team ML,Monitoring Server #5,76411c1f-cc3c-4c0d-b444-5bd57930470e
vm-monitor-6,10.0.0.109,N/A,8,32GB,N/A,1TB SSD,eth0: 10.0.0.109,Windows Server 2019,monitor-01,gateway-4,N/A,N/A,Dev,Monitoring Server,Attivo,Team Infrastructure,Monitoring Server #6,16591b86-02f4-4048-b556-69d8e7826a61
vm-monitor-7,10.0.1.110,N/A,5,32GB,N/A,2TB SSD,eth0: 10.0.1.110,Ubuntu 18.04 LTS,monitor-01,gateway-6,N/A,N/A,Prod,Monitoring Server,Attivo,Team Kubernetes,Monitoring Server #7,e4761829-45cd-47f6-9e0d-98650d3c7ccf
vm-monitor-8,172.16.0.111,N/A,3,8GB,N/A,2TB SSD,eth0: 172.16.0.111,Windows Server 2016,monitor-01,gateway-2,N/A,N/A,Dev,Monitoring Server,Attivo,Team DevOps,Monitoring Server #8,e980d402-606e-4ad5-b3e3-d723a3983d0c
vm-gateway-1,10.0.1.112,N/A,14,32GB,N/A,500GB SSD,eth0: 10.0.1.112,Windows Server 2019,monitor-01,gateway-6,N/A,N/A,Prod,Gateway,Attivo,Team DevOps,Gateway #1,b93f2ac2-c792-480d-bb78-2e157daa513a
vm-gateway-2,10.0.0.113,N/A,12,16GB,N/A,500GB SSD,eth0: 10.0.0.113,Windows Server 2019,monitor-01,gateway-8,N/A,N/A,Prod,Gateway,Attivo,Team DB,Gateway #2,332026ca-1add-4ca2-913d-3157e0a98e42
vm-gateway-3,10.0.0.114,N/A,6,8GB,N/A,500GB SSD,eth0: 10.0.0.114,Windows Server 2016,monitor-01,gateway-4,N/A,N/A,Prod,Gateway,Attivo,Team Web,Gateway #3,a98a5046-aae0-4889-9593-3a1d61be36c9
vm-gateway-4,10.0.1.115,N/A,13,64GB,N/A,500GB SSD,eth0: 10.0.1.115,CentOS 8,monitor-01,gateway-5,N/A,N/A,Dev,Gateway,Attivo,Team Infrastructure,Gateway #4,ef1f09d7-e0ed-4968-966c-7038cd114fc6
vm-gateway-5,10.0.0.116,N/A,14,8GB,N/A,1TB SSD,eth0: 10.0.0.116,Windows Server 2016,monitor-01,gateway-2,N/A,N/A,Prod,Gateway,Attivo,Team DB,Gateway #5,b8bd4eca-ffcf-44a3-b616-c93cda545ff9
vm-gateway-6,192.168.1.117,N/A,16,16GB,N/A,2TB SSD,eth0: 192.168.1.117,Windows Server 2019,monitor-01,gateway-9,N/A,N/A,Test,Gateway,Attivo,Team Kubernetes,Gateway #6,8636538f-abd8-4812-b50f-2ac8c87b41ba
vm-gateway-7,172.16.0.118,N/A,7,64GB,N/A,1TB SSD,eth0: 172.16.0.118,Windows Server 2019,monitor-01,gateway-5,N/A,N/A,Prod,Gateway,Attivo,Team ML,Gateway #7,5fd84dbc-1038-4c66-919d-6b60f0ecaf97
vm-gateway-8,10.1.0.119,N/A,16,32GB,N/A,2TB SSD,eth0: 10.1.0.119,Oracle Linux 7.9,monitor-01,gateway-9,N/A,N/A,Prod,Gateway,Attivo,Team Infrastructure,Gateway #8,119c5765-db74-46dd-ad0e-7bc71db5cba8
vm-gateway-9,192.168.1.120,N/A,14,8GB,N/A,1TB SSD,eth0: 192.168.1.120,Ubuntu 20.04 LTS,monitor-01,gateway-3,N/A,N/A,Test,Gateway,Attivo,Team Infrastructure,Gateway #9,fbad1e2e-32aa-4c4a-800a-26621249ea85
vm-gateway-10,10.1.0.121,N/A,8,8GB,N/A,1TB SSD,eth0: 10.1.0.121,CentOS 8,monitor-01,gateway-8,N/A,N/A,Prod,Gateway,Attivo,Team Kubernetes,Gateway #10,fc42b357-9bcc-44b6-9508-1d5cb0e5c21c
vm-independent-1,10.0.0.122,N/A,15,64GB,N/A,2TB SSD,eth0: 10.0.0.122,Windows Server 2019,monitor-01,gateway-7,N/A,N/A,Prod,Independent Service,Attivo,Team Web,Independent Service #1,9fa34c9e-d5d2-41be-b35d-d815fd3b25de
vm-independent-2,10.0.1.123,N/A,3,32GB,N/A,1TB SSD,eth0: 10.0.1.123,Windows Server 2019,monitor-01,gateway-5,N/A,N/A,Prod,Independent Service,Attivo,Team Infrastructure,Independent Service #2,99334e0d-a9ad-440f-9c40-8dd1663c934d
vm-independent-3,10.1.0.124,N/A,6,64GB,N/A,500GB SSD,eth0: 10.1.0.124,Debian 10,monitor-01,gateway-9,N/A,N/A,Prod,Independent Service,Attivo,Team Web,Independent Service #3,f8b4e38f-a5d1-4cd9-a27a-33f71c65a3ec
vm-independent-4,10.0.0.125,N/A,14,32GB,N/A,2TB SSD,eth0: 10.0.0.125,Windows Server 2016,monitor-01,gateway-9,N/A,N/A,Prod,Independent Service,Attivo,Team Infrastructure,Independent Service #4,2fd3b839-a36b-4b3a-9c33-3c5d06db1856
vm-independent-5,10.0.0.126,N/A,13,32GB,N/A,2TB SSD,eth0: 10.0.0.126,Windows Server 2019,monitor-01,gateway-5,N/A,N/A,Prod,Independent Service,Attivo,Team Kubernetes,Independent Service #5,b8c30612-9abe-4939-9fc9-a8c77d9520c1
vm-independent-6,10.0.0.127,N/A,14,64GB,N/A,500GB SSD,eth0: 10.0.0.127,Windows Server 2019,monitor-01,gateway-6,N/A,N/A,Prod,Independent Service,Attivo,Team QA,Independent Service #6,db91b590-53e8-4ab0-b083-848d4d72ea4d
vm-independent-7,172.16.0.128,N/A,2,64GB,N/A,2TB SSD,eth0: 172.16.0.128,Ubuntu 18.04 LTS,monitor-01,gateway-9,N/A,N/A,Test,Independent Service,Attivo,Team ML,Independent Service #7,b5df3001-dc10-4313-8f0d-fa3a83105823
