Hostname,Dipendenze,Componenti Dipendenti,Monitorato da,Applicativi Installati,Servizi Forniti,Flusso di Traffico In,Flusso di Traffico Out,Relazioni con Docker Swarm,Relazioni con Kubernetes,Politiche di Backup,Politiche di Sicurezza,Contatti di Supporto,SLA,Note
Firewall-160,VM-146;VM-21,Router-73;Gateway-76,CheckMK,Kubernetes,dev,80,443,No,No,Giornaliero,Standard,supporto@dev.com,99.9%,KMDB generato per simulazione
Gateway-161,VM-54,Firewall-188;Router-195,Nagios,Docker,kube-node,80,443,No,Sì,Giornaliero,Standard,supporto@kube-node.com,99.99%,KMDB generato per simulazione
Firewall-162,Gateway-55,Router-195,CheckMK,Nginx,oracle-db,80,80,No,No,Nessuno,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
Router-163,Firewall-162,Server-141,CheckMK,Nginx,router,80,443,No,No,Nessuno,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
Firewall-164,VM-2;Gateway-138,Gateway-79,Prometheus,Nginx,oracle-db,80,443,No,No,Giornaliero,Standard,supporto@oracle-db.com,99.9%,KMDB generato per simulazione
VM-165,VM-89;VM-149,Router-163,Nagios,Kubernetes,dev,80,443,No,No,Nessuno,Standard,supporto@dev.com,99.99%,KMDB generato per simulazione
Firewall-166,Firewall-4;Gateway-178,VM-63;Server-104,Prometheus,Nginx,monitor,443,443,No,No,Nessuno,Standard,supporto@monitor.com,99%,KMDB generato per simulazione
Router-167,VM-21;Router-124,Firewall-91;Gateway-122,Nagios,Docker,oracle-db,80,80,No,No,Nessuno,Standard,supporto@oracle-db.com,99%,KMDB generato per simulazione
Firewall-168,Server-64,Gateway-138,CheckMK,Nginx,router,80,443,No,No,Giornaliero,Standard,supporto@router.com,99%,KMDB generato per simulazione
Router-169,VM-5,Firewall-136,CheckMK,Kubernetes,ml,443,443,No,No,Settimanale,Standard,supporto@ml.com,99.99%,KMDB generato per simulazione
VM-170,Server-104;Firewall-136;VM-24,Firewall-56,CheckMK,Kubernetes,independent,443,443,No,No,Settimanale,Standard,supporto@independent.com,99%,KMDB generato per simulazione
VM-171,Router-110;Firewall-61,Gateway-145;Firewall-80,Prometheus,Kubernetes,ml,443,80,No,No,Giornaliero,Standard,supporto@ml.com,99.9%,KMDB generato per simulazione
VM-172,Firewall-61;VM-146;Firewall-93,VM-2;Gateway-28,Nagios,Kubernetes,independent,80,443,No,No,Settimanale,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Firewall-173,Gateway-3;Server-37,Router-31;VM-170,Nagios,Kubernetes,router,80,80,No,No,Nessuno,Standard,supporto@router.com,99%,KMDB generato per simulazione
Gateway-174,Gateway-87;Firewall-173;VM-7,Gateway-79,CheckMK,Docker,monitor,443,80,No,No,Nessuno,Standard,supporto@monitor.com,99.99%,KMDB generato per simulazione
VM-175,Server-148,Server-179,Nagios,Docker,kube-node,443,80,No,Sì,Nessuno,Standard,supporto@kube-node.com,99.9%,KMDB generato per simulazione
Firewall-176,Firewall-56;Server-134;VM-106,Gateway-138,CheckMK,Docker,independent,80,443,No,No,Nessuno,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Server-177,Gateway-76,VM-18;Gateway-97,Prometheus,Nginx,kube-master,80,443,No,Sì,Settimanale,Standard,supporto@kube-master.com,99%,KMDB generato per simulazione
Gateway-178,Gateway-142;Gateway-153,Firewall-133,Nagios,Nginx,kube-master,80,443,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Server-179,Router-69,VM-58,Nagios,Nginx,oracle-db,80,443,No,No,Nessuno,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
Router-180,Gateway-145;VM-89,Gateway-23;Router-39,Nagios,Nginx,gateway,80,443,No,No,Nessuno,Standard,supporto@gateway.com,99%,KMDB generato per simulazione
Router-181,Server-200;VM-152;VM-2,Firewall-136,CheckMK,Docker,monitor,80,80,No,No,Giornaliero,Standard,supporto@monitor.com,99.99%,KMDB generato per simulazione
Firewall-182,Gateway-76;Gateway-153,Gateway-184,Prometheus,Kubernetes,independent,443,80,No,No,Giornaliero,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Gateway-183,VM-40;Firewall-9;VM-156,VM-146;Gateway-97,CheckMK,Docker,kube-master,443,443,No,Sì,Giornaliero,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Gateway-184,Router-180;Firewall-157,Gateway-97,CheckMK,Apache,independent,443,80,No,No,Nessuno,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Server-185,VM-171,Firewall-65,Prometheus,Kubernetes,kube-master,80,443,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.99%,KMDB generato per simulazione
Server-186,Gateway-98,Server-85,CheckMK,Kubernetes,router,443,80,No,No,Nessuno,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
Firewall-187,Gateway-143;VM-63;Firewall-29,Gateway-178;Server-37,Nagios,Kubernetes,independent,443,80,No,No,Giornaliero,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
Firewall-188,Server-35,Server-186,Prometheus,Docker,web,80,80,No,No,Giornaliero,Standard,supporto@web.com,99.9%,KMDB generato per simulazione
Firewall-189,VM-7;Server-59,Gateway-101;Firewall-168,Nagios,Apache,independent,443,80,No,No,Nessuno,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
Firewall-190,Server-128;Gateway-192,Firewall-121;Firewall-166,Nagios,Apache,kube-master,80,80,No,Sì,Settimanale,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Router-191,VM-106;Router-31;Gateway-192,VM-58,CheckMK,Docker,router,80,443,No,No,Settimanale,Standard,supporto@router.com,99.9%,KMDB generato per simulazione
Gateway-192,Firewall-88;VM-1,Gateway-55;VM-71,Nagios,Nginx,dev,443,80,No,No,Nessuno,Standard,supporto@dev.com,99.9%,KMDB generato per simulazione
Router-193,Server-148,Firewall-51;Gateway-184,CheckMK,Docker,independent,80,443,No,No,Nessuno,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
Firewall-194,Router-27;Firewall-49,Gateway-28,Nagios,Nginx,test,80,80,No,No,Nessuno,Standard,supporto@test.com,99.9%,KMDB generato per simulazione
Router-195,Router-90;VM-146;Gateway-50,Gateway-158;VM-146,CheckMK,Apache,dev,443,443,No,No,Nessuno,Standard,supporto@dev.com,99%,KMDB generato per simulazione
VM-196,VM-105,Firewall-61;Firewall-11,Nagios,Nginx,test,80,443,No,No,Nessuno,Standard,supporto@test.com,99.9%,KMDB generato per simulazione
Router-197,Router-73,Gateway-38,CheckMK,Nginx,web,443,80,No,No,Nessuno,Standard,supporto@web.com,99.99%,KMDB generato per simulazione
Server-198,Server-34;Firewall-166,Gateway-103;Gateway-3,Prometheus,Apache,test,443,80,No,No,Giornaliero,Standard,supporto@test.com,99%,KMDB generato per simulazione
Server-199,Router-167;Router-169;Firewall-11,Server-37;Gateway-92,CheckMK,Nginx,router,443,80,No,No,Settimanale,Standard,supporto@router.com,99.9%,KMDB generato per simulazione
Server-200,VM-8;Gateway-103;Firewall-4,Firewall-57,Nagios,Nginx,router,443,80,No,No,Nessuno,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
